username,Category,Country
samm_shop1,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
deseomakeupshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
trendy,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
iconika.beautyshop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
venecia_beautyshopcuu,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
sallybeautymx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
ellabellezashop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
lacolorscosmeticosmx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
grey.shop.mx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
thebodyshop_mx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
luxe_aros_de_luz,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
pinkshop_portales,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
losgallos_shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
theglow_mx,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
openshopmexico,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
ateneaprofesional,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
hanny_pulido,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""México"" OR ""Mexico"" OR ""mx"")"
