username,Category,Country
cremasduval,"""cuidado * piel""","(""Argentina"" OR ""Buenos Aires"" OR ""Arg"")"
beautymarketcl2,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
niashop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
makemore,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
maquilladas,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
maquilladas.cl,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
beautycreations_chile,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
tiendasmakeup,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
beautystorree,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
karlibeauty.shop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
tayronashop,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
thebodyshopchile,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
blushbarchile,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
beautygirl_mg,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
cosmeticosymaquillajetalca,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
delilahmor_store,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
cosmeticshopcali,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
salonedus,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
modaoutletchile.cl,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
wondershop_cl,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
incidenciastore,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
glamstore_cl,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
kawaii_world_chile,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
amarantamakeupcali,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
karlibeauty,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
essenza01,"(""belleza"" OR ""maquillaje"" OR ""cosméticos"")","(""Chile"" OR ""Santiago"" OR ""Cl"")"
